fib_sum	dfsr	ifsr	actlr	cpacr	pmcr	cache_aux_cntrl	cntrl
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	1
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	1
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	1
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	2
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	2
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	2
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	2
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	2
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	2
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	3
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	3
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	3
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	3
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	3
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	3
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	4
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	4
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	4
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	4
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	4
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	5
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	5
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	5
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	5
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	5
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	5
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	6
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	6
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	6
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	6
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	6
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	7
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	7
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	7
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	7
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	7
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	7
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	8
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	8
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	8
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	8
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	8
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	8
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	9
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	9
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	9
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	9
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	9
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	10
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	10
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	10
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	10
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	10
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	10
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	11
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	11
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	11
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	11
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	11
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	11
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	12
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	12
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	12
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	12
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	12
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	12
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	13
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	13
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	13
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	13
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	13
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	13
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	13
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	14
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	14
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	14
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	14
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	14
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	15
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	15
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	15
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	15
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	15
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	15
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	15
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	16
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	16
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	16
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	16
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	16
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	16
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	17
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	17
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	17
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	17
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	17
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	17
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	18
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	18
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	18
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	18
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	18
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	18
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	19
14930352	0	8	2147485248	15728640	2147483648	270532674	12916861	19
